dataset	seed	status	complete	train_last	max_epoch	raw_best	raw_epoch	test_at_val	val_best	val_epoch	structure	cfg	run_dir
Small-HI	42	DONE	yes	179	180	0.80227	107	0.79661	0.71983	85	full_dual_uncert_subgraph_gate	configs/AML-Small-HI/AML-Small-HI-UnifiedClassSplitSubgraphDualUncertGate180.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_screen180_main/AML-Small-HI-UnifiedClassSplitSubgraphDualUncertGate180-gpu1
Small-HI	43	DONE	yes	179	180	0.79613	177	0.77778	0.71933	137	full_dual_uncert_subgraph_gate	configs/AML-Small-HI/AML-Small-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed43.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_seed43_screen180_main/AML-Small-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed43-gpu0
Small-HI	44	DONE	yes	179	180	0.80193	113	0.76165	0.73362	89	full_dual_uncert_subgraph_gate	configs/AML-Small-HI/AML-Small-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed44.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_seed44_screen180_main/AML-Small-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed44-gpu0
Small-LI	42	DONE	yes	239	240	0.52252	133	0.44634	0.41928	213	full_dual_uncert_subgraph_gate	configs/AML-Small-LI/AML-Small-LI-UnifiedClassSplitSubgraphDualUncertGate240Seed42.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgate_seed42_full240_main/AML-Small-LI-UnifiedClassSplitSubgraphDualUncertGate240Seed42-gpu0
Small-LI	43	DONE	yes	239	240	0.48211	181	0.42244	0.41565	153	full_dual_uncert_subgraph_gate	configs/AML-Small-LI/AML-Small-LI-UnifiedClassSplitSubgraphDualUncertGate240Seed43.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgate_seed43_full240_main/AML-Small-LI-UnifiedClassSplitSubgraphDualUncertGate240Seed43-gpu0
Small-LI	44	DONE	yes	239	240	0.50195	159	0.39737	0.40695	235	full_dual_uncert_subgraph_gate	configs/AML-Small-LI/AML-Small-LI-UnifiedClassSplitSubgraphDualUncertGate240Seed44.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgate_seed44_full240_main/AML-Small-LI-UnifiedClassSplitSubgraphDualUncertGate240Seed44-gpu0
Medium-HI	42	DONE	yes	179	180	0.80639	161	0.78501	0.75051	177	full_dual_uncert_subgraph_gate	configs/AML-Medium-HI/AML-Medium-HI-UnifiedClassSplitSubgraphDualUncertGate180.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_screen180_main/AML-Medium-HI-UnifiedClassSplitSubgraphDualUncertGate180-gpu1
Medium-HI	43	DONE	yes	179	180	0.79178	129	0.77692	0.74564	179	full_dual_uncert_subgraph_gate	configs/AML-Medium-HI/AML-Medium-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed43.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_seed43_screen180_main/AML-Medium-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed43-gpu0
Medium-HI	44	DONE	yes	179	180	0.79749	131	0.79574	0.74388	111	full_dual_uncert_subgraph_gate	configs/AML-Medium-HI/AML-Medium-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed44.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_seed44_screen180_main/AML-Medium-HI-UnifiedClassSplitSubgraphDualUncertGate180Seed44-gpu0
Medium-LI	42	DONE	yes	179	180	0.52473	115	0.47887	0.36281	131	full_dual_uncert_subgraph_gate	configs/AML-Medium-LI/AML-Medium-LI-UnifiedClassSplitSubgraphDualUncertGate180.yaml	/e/yyk/FraudGT_multi6/unified_supportmixconsisclassmixprotoboundclasssplitsubgraphdualuncertgateboundresid_screen180_main/AML-Medium-LI-UnifiedClassSplitSubgraphDualUncertGate180-gpu1
